End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2025-04-06T13:11:00.000-04:00,2025-04-06,13:11:00,1743959460,-240,1500
2025-04-06T13:42:00.000-04:00,2025-04-06,13:42:00,1743961320,-240,1500
2025-04-06T14:31:00.000-04:00,2025-04-06,14:31:00,1743964260,-240,1500
2025-04-06T15:01:00.000-04:00,2025-04-06,15:01:00,1743966060,-240,1500
2025-04-07T21:11:00.000-04:00,2025-04-07,21:11:00,1744074660,-240,1500
2025-04-07T22:06:00.000-04:00,2025-04-07,22:06:00,1744077960,-240,1500
2025-04-07T22:52:00.000-04:00,2025-04-07,22:52:00,1744080720,-240,1500
2025-04-09T23:01:00.000-04:00,2025-04-09,23:01:00,1744254060,-240,1500
2025-04-09T23:45:00.000-04:00,2025-04-09,23:45:00,1744256700,-240,1500
2025-04-10T00:46:00.000-04:00,2025-04-10,00:46:00,1744260360,-240,1500
2025-04-10T12:56:00.000-04:00,2025-04-10,12:56:00,1744304160,-240,1500
2025-04-10T13:37:00.000-04:00,2025-04-10,13:37:00,1744306620,-240,1500
2025-04-10T14:19:00.000-04:00,2025-04-10,14:19:00,1744309140,-240,1500
2025-04-10T17:16:00.000-04:00,2025-04-10,17:16:00,1744319760,-240,1500
2025-04-12T15:58:00.000-04:00,2025-04-12,15:58:00,1744487880,-240,1500
2025-04-12T16:39:00.000-04:00,2025-04-12,16:39:00,1744490340,-240,1500
2025-04-12T20:43:00.000-04:00,2025-04-12,20:43:00,1744504980,-240,1500
2025-04-12T21:46:00.000-04:00,2025-04-12,21:46:00,1744508760,-240,1500
2025-04-12T23:29:00.000-04:00,2025-04-12,23:29:00,1744514940,-240,1500
2025-04-13T00:02:00.000-04:00,2025-04-13,00:02:00,1744516920,-240,1500
2025-04-13T20:29:00.000-04:00,2025-04-13,20:29:00,1744590540,-240,1500
2025-04-13T21:13:00.000-04:00,2025-04-13,21:13:00,1744593180,-240,1500
2025-04-13T21:59:00.000-04:00,2025-04-13,21:59:00,1744595940,-240,1500
2025-04-13T23:03:00.000-04:00,2025-04-13,23:03:00,1744599780,-240,1500
